kenteken;voertuigsoort;merk;handelsbenaming;vervaldatum_apk;datum_tenaamstelling;bruto_bpm;inrichting;aantal_zitplaatsen;eerste_kleur;tweede_kleur;aantal_cilinders;cilinderinhoud;massa_ledig_voertuig;toegestane_maximum_massa_voertuig;massa_rijklaar;maximum_massa_trekken_ongeremd;maximum_trekken_massa_geremd;datum_eerste_toelating;datum_eerste_tenaamstelling_in_nederland;wacht_op_keuren;catalogusprijs;wam_verzekerd;maximale_constructiesnelheid;aantal_deuren;aantal_wielen;afstand_hart_koppeling_tot_achterzijde_voertuig;afstand_voorzijde_voertuig_tot_hart_koppeling;lengte;breedte;europese_voertuigcategorie;technische_max_massa_voertuig;type;typegoedkeuringsnummer;variant;uitvoering;volgnummer_wijziging_eu_typegoedkeuring;vermogen_massarijklaar;wielbasis;export_indicator;openstaande_terugroepactie_indicator;taxi_indicator;maximum_massa_samenstelling;aantal_rolstoelplaatsen;maximum_ondersteunende_snelheid;jaar_laatste_registratie_tellerstand;tellerstandoordeel;code_toelichting_tellerstandoordeel;tenaamstellen_mogelijk;vervaldatum_apk_dt;datum_tenaamstelling_dt;datum_eerste_toelating_dt;datum_eerste_tenaamstelling_in_nederland_dt;hoogte_voertuig;zuinigheidsclassificatie;api_gekentekende_voertuigen_assen;api_gekentekende_voertuigen_brandstof;api_gekentekende_voertuigen_carrosserie;api_gekentekende_voertuigen_carrosserie_specifiek;api_gekentekende_voertuigen_voertuigklasse;plaats_chassisnummer;type_gasinstallatie;verticale_belasting_koppelpunt_getrokken_voertuig;registratie_datum_goedkeuring_afschrijvingsmoment_bpm;registratie_datum_goedkeuring_afschrijvingsmoment_bpm_dt;europese_voertuigcategorie_toevoeging;europese_uitvoeringcategorie_toevoeging
J943GD;Personenauto;RENAULT;CLIO;20240818;20200818;2310;hatchback;5;WIT;Niet geregistreerd;3;999;1065;1603;1165;580;900;20200818;20200818;Geen verstrekking in Open Data;20494;Ja;188;5;4;0;0;405;173;M1;1603;RJA;e2*2007/46*0676*04;BE2;MT5TA37A5000;0;0.06;258;Nee;Nee;Nee;2503;0;0.00;2022;Logisch;00;Ja;2024-08-18T00:00:00.000;2020-08-18T00:00:00.000;2020-08-18T00:00:00.000;2020-08-18T00:00:00.000;144;B;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;
J943GH;Personenauto;SUZUKI;IGNIS;20240725;20200725;1824;hatchback;4;BLAUW;Niet geregistreerd;4;1197;835;1330;935;400;1000;20200725;20200725;Geen verstrekking in Open Data;19679;Ja;165;5;4;0;0;370;169;M1;1330;MF;e4*2007/46*1162*03;H91S;MT-4/L;0;0.07;244;Nee;Nee;Nee;2330;0;0.00;2022;Logisch;00;Ja;2024-07-25T00:00:00.000;2020-07-25T00:00:00.000;2020-07-25T00:00:00.000;2020-07-25T00:00:00.000;161;B;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;
J943GJ;Personenauto;HONDA;HONDA CR-V;20230526;20210528;11642;MPV;5;ZWART;Niet geregistreerd;4;1997;1470;2050;1570;600;1600;20120208;20200728;Geen verstrekking in Open Data;40800;Ja;190;4;4;0;0;457;0;M1;2050;RE5;e11*2001/116*0301*05;2;1;0;0.07;263;Nee;Nee;Nee;3650;0;0.00;2022;Geen oordeel;05;Ja;2023-05-26T00:00:00.000;2021-05-28T00:00:00.000;2012-02-08T00:00:00.000;2020-07-28T00:00:00.000;168;D;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;r. tegen schutbord onder motorkap;;;;;;
J943GK;Personenauto;TOYOTA;TOYOTA AYGO;20240801;20200801;1653;hatchback;4;ROOD;Niet geregistreerd;3;998;830;1240;930;;;20200801;20200801;Geen verstrekking in Open Data;14484;Ja;160;4;4;0;0;347;162;M1;1240;AB1;e6*2007/46*0348*02;KGB40(H);KGB40L-AHMGKW(3U);0;0.06;234;Nee;Nee;Nee;1240;0;0.00;2020;Logisch;00;Ja;2024-08-01T00:00:00.000;2020-08-01T00:00:00.000;2020-08-01T00:00:00.000;2020-08-01T00:00:00.000;146;B;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;
J943GL;Personenauto;VOLKSWAGEN;POLO;20240325;20200723;1178;hatchback;5;GRIJS;Niet geregistreerd;3;999;1055;1650;1155;570;1100;20180314;20200723;Geen verstrekking in Open Data;23107;Ja;;5;4;;;;175;M1;1650;AW;e1*2007/46*1783*04;ABCHZJ;FM6FM6AJ017N3VR27MM62;1;0.07;255;Nee;Nee;Nee;2750;;;2022;Geen oordeel;05;Ja;2024-03-25T00:00:00.000;2020-07-23T00:00:00.000;2018-03-14T00:00:00.000;2020-07-23T00:00:00.000;;C;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;r. motorruimte;;;;;;
J943GN;Personenauto;AUDI;A3 CABRIOLET;20230630;20200727;3625;cabriolet;4;WIT;Niet geregistreerd;4;1395;1355;1880;1455;720;1500;20160616;20200727;Geen verstrekking in Open Data;48791;Ja;222;2;4;0;0;0;179;M1;1880;8V;e1*2007/46*0607*19;KCZEAF1;FD7AM014P8V137MMEM1;0;0.08;259;Nee;Nee;Nee;3380;0;0.00;2021;Geen oordeel;05;Ja;2023-06-30T00:00:00.000;2020-07-27T00:00:00.000;2016-06-16T00:00:00.000;2020-07-27T00:00:00.000;;B;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;
J943GP;Personenauto;RENAULT;CAPTUR;20240922;20200925;2664;hatchback;5;GRIJS;ZWART;4;1197;1159;1723;1259;625;1200;20170103;20200925;Geen verstrekking in Open Data;27164;Ja;192;4;4;0;0;412;178;M1;1723;R;e2*2001/116*0327*78;2RBU;2RBU1D;0;0.07;261;Nee;Nee;Nee;2623;0;0.00;2022;Geen oordeel;05;Ja;2024-09-22T00:00:00.000;2020-09-25T00:00:00.000;2017-01-03T00:00:00.000;2020-09-25T00:00:00.000;157;D;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;r. in kofferruimte by reservewiel;;;;;;
J943GR;Personenauto;TOYOTA;TOYOTA AYGO;20230615;20210616;195;hatchback;4;WIT;Niet geregistreerd;3;998;830;1240;930;;;20160317;20200924;Geen verstrekking in Open Data;12877;Ja;160;4;4;0;0;346;162;M1;1240;AB1;e11*2001/116*0236*12;KGB40(H);KGB40L-AHMGKW(2N);0;0.05;234;Nee;Nee;Nee;1240;0;;2021;Geen oordeel;05;Ja;2023-06-15T00:00:00.000;2021-06-16T00:00:00.000;2016-03-17T00:00:00.000;2020-09-24T00:00:00.000;146;B;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;
J943GT;Personenauto;VOLKSWAGEN;SHARAN;20230911;20200911;9198;MPV;7;ZWART;Niet geregistreerd;4;1390;1671;2480;1771;750;1800;20131022;20200911;Geen verstrekking in Open Data;48268;Ja;197;4;4;0;0;0;190;M1;2480;7N;e1*2007/46*0401*06;CTHAX0AF;FM6FM6BB0037MJ7VR2VWO;0;0.06;292;Nee;Nee;Nee;4310;0;0.00;2022;Geen oordeel;05;Ja;2023-09-11T00:00:00.000;2020-09-11T00:00:00.000;2013-10-22T00:00:00.000;2020-09-11T00:00:00.000;;B;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;
J943GV;Personenauto;MINI;COOPER S;20240805;20200805;6526;cabriolet;4;GRIJS;Niet geregistreerd;4;1998;1285;1745;1385;;;20200805;20200805;Geen verstrekking in Open Data;50684;Ja;230;2;4;0;0;385;173;M1;1745;FMCA;e1*2007/46*1679*07;WJ51;DAW400L0;0;0.10;250;Nee;Nee;Nee;0;0;0.00;2022;Logisch;00;Ja;2024-08-05T00:00:00.000;2020-08-05T00:00:00.000;2020-08-05T00:00:00.000;2020-08-05T00:00:00.000;142;E;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;
